sep=,
org_x,org_y,org_z,hit,hit_x,hit_y,hit_z
-8.4,-9.2,1,1,-8.4,-9.2,-0.470902
-8.2,-9.2,1,1,-8.2,-9.2,-0.753371
-8,-9.2,1,1,-8,-9.2,-1.03584
-7.8,-9.2,1,1,-7.8,-9.2,-1.31831
-7.6,-9.2,1,1,-7.6,-9.2,-1.60078
-7.4,-9.2,1,1,-7.4,-9.2,-1.88325
-7.2,-9.2,1,1,-7.2,-9.2,-2.16572
-7,-9.2,1,1,-7,-9.2,-2.17265
-6.8,-9.2,1,1,-6.8,-9.2,-2.39418
-6.6,-9.2,1,1,-6.6,-9.2,-2.11171
-6.4,-9.2,1,1,-6.4,-9.2,-1.89592
-6.2,-9.2,1,1,-6.2,-9.2,-1.89592
-6,-9.2,1,1,-6,-9.2,-1.77701
-5.8,-9.2,1,1,-5.8,-9.2,-1.49454
-5.6,-9.2,1,1,-5.6,-9.2,-1.21207
-5.4,-9.2,1,1,-5.4,-9.2,-0.929598
-5.2,-9.2,1,1,-5.2,-9.2,-0.647127
-5,-9.2,1,1,-5,-9.2,-0.364657
-4.8,-9.2,1,1,-4.8,-9.2,-0.106507
-4.6,-9.2,1,1,-4.6,-9.2,-0.200283
-4.4,-9.2,1,1,-4.4,-9.2,-0.482753
-4.2,-9.2,1,1,-4.2,-9.2,-0.765224
-4,-9.2,1,1,-4,-9.2,-0.775882
-3.8,-9.2,1,1,-3.8,-9.2,-0.493412
-3.6,-9.2,1,1,-3.6,-9.2,-0.210942
-3.4,-9.2,1,1,-3.4,-9.2,-0.0995834
-3.2,-9.2,1,1,-3.2,-9.2,-0.353999
-3,-9.2,1,1,-3,-9.2,-0.636469
-2.8,-9.2,1,1,-2.8,-9.2,-0.918939
-2.6,-9.2,1,1,-2.6,-9.2,-0.864266
-2.4,-9.2,1,1,-2.4,-9.2,-0.581796
-2.2,-9.2,1,1,-2.2,-9.2,-0.481144
-2,-9.2,1,1,-2,-9.2,-0.481144
-1.8,-9.2,1,1,-1.8,-9.2,-0.481144
-1.6,-9.2,1,1,-1.6,-9.2,-0.548085
-1.4,-9.2,1,1,-1.4,-9.2,-0.830555
-1.2,-9.2,1,1,-1.2,-9.2,-0.897598
-1,-9.2,1,1,-1,-9.2,-0.727752
-0.8,-9.2,1,1,-0.8,-9.2,-0.599316
-0.6,-9.2,1,1,-0.6,-9.2,-0.569922
-0.4,-9.2,1,1,-0.4,-9.2,-0.569922
-0.2,-9.2,1,1,-0.2,-9.2,-0.569922
0,-9.2,1,1,0,-9.2,-0.569922
0.2,-9.2,1,1,0.2,-9.2,-0.465716
0.4,-9.2,1,1,0.4,-9.2,-0.465716
0.6,-9.2,1,1,0.6,-9.2,-0.465716
0.8,-9.2,1,1,0.8,-9.2,-0.555977
1,-9.2,1,1,1,-9.2,-0.506696
1.2,-9.2,1,1,1.2,-9.2,-0.398705
1.4,-9.2,1,1,1.4,-9.2,-0.398705
1.6,-9.2,1,1,1.6,-9.2,-0.398705
1.8,-9.2,1,1,1.8,-9.2,-0.448526
2,-9.2,1,1,2,-9.2,-0.730996
2.2,-9.2,1,1,2.2,-9.2,-1.01347
2.4,-9.2,1,1,2.4,-9.2,-1.256
2.6,-9.2,1,1,2.6,-9.2,-1.53847
2.8,-9.2,1,1,2.8,-9.2,-1.82094
3,-9.2,1,1,3,-9.2,-2.10341
3.2,-9.2,1,1,3.2,-9.2,-2.13457
3.4,-9.2,1,1,3.4,-9.2,-1.8521
3.6,-9.2,1,1,3.6,-9.2,-1.56963
3.8,-9.2,1,1,3.8,-9.2,-1.28716
4,-9.2,1,1,4,-9.2,-1.00469
4.2,-9.2,1,1,4.2,-9.2,-0.939647
4.4,-9.2,1,1,4.4,-9.2,-0.939647
4.6,-9.2,1,1,4.6,-9.2,-0.939647
4.8,-9.2,1,1,4.8,-9.2,-0.789931
5,-9.2,1,1,5,-9.2,-0.507461
5.2,-9.2,1,1,5.2,-9.2,-0.279635
5.4,-9.2,1,1,5.4,-9.2,-0.279635
5.6,-9.2,1,1,5.6,-9.2,-0.339949
5.8,-9.2,1,1,5.8,-9.2,-0.62242
6,-9.2,1,1,6,-9.2,-0.90489
6.2,-9.2,1,1,6.2,-9.2,-1.18736
6.4,-9.2,1,1,6.4,-9.2,-1.46983
6.6,-9.2,1,1,6.6,-9.2,-1.68406
6.8,-9.2,1,1,6.8,-9.2,-1.40159
7,-9.2,1,1,7,-9.2,-1.11912
7.2,-9.2,1,1,7.2,-9.2,-0.836646
7.4,-9.2,1,1,7.4,-9.2,-0.554176
7.6,-9.2,1,1,7.6,-9.2,-0.271706
7.8,-9.2,1,1,7.8,-9.2,-0.168211
8,-9.2,1,1,8,-9.2,-0.293234
8.2,-9.2,1,1,8.2,-9.2,-0.342461
8.4,-9.2,1,1,8.4,-9.2,-0.350061
8.6,-9.2,1,1,8.6,-9.2,-0.632532
8.8,-9.2,1,1,8.8,-9.2,-0.597658
9,-9.2,1,1,9,-9.2,-0.420769
9.2,-9.2,1,1,9.2,-9.2,-0.138299
9.4,-9.2,1,1,9.4,-9.2,-0.144171
9.6,-9.2,1,1,9.6,-9.2,-0.426642
9.8,-9.2,1,1,9.8,-9.2,-0.709112
